 DÉCADA 1990-1999,,,,,,,,
,,RESPONSABILIDAD DE PRODUCCIÓN,,,,,,
MXIM-AV-1-11-176,Paul Gauguin: Sweet Dreams,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-177,Bartolome Murillo: The rest on the flight into egypt,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-178,Rembrandt Harmensz Van Rijn: The Return of the Prodigal Son,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-179,Paula Rego: Manifest für eine verlorene sache,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-180,Eugene Jansson: Sunrise over the rooftops,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-181,Anders Zorn: Our daily bread,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-182,Pieter Bruegel: The Triumph of death,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-183,Yves Klein: Blue Harmony,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-184,Mikhail Vrubel: Six-Winged Seraph,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-185,Marc Chagal: Promenade,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-186,Liubor Popova: Portrait of philosopher,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-187,Mikhail Nesterov: The taking of the veil,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-188,Diego Velázquez: Las Meninas,RM Arts,RM Associates,,,,,
MXIM-AV-1-11-189,Parque Patricios,Instituto Histórico de la Ciudad de  Buenos Aires,,,,,,
MXIM-AV-1-11-190,La Boca,Instituto Histórico de la Ciudad de  Buenos Aires,,,,,,
MXIM-AV-1-11-191,El abasto,Instituto Histórico de la Ciudad de  Buenos Aires,,,,,,
MXIM-AV-1-11-192,La gaveuse,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-193,La romancière,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-194,La roulotteuse,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-195,La fleuriste,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-196,La cordonniére,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-197,La marchande de journaux,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-198,L´opticienne,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-199,La souffleuse de verre,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-200,L´illusionniste,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-201,L´accordeuse de piano,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-202,La corsetière,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-203,L´archetière,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-204,Parier et travailler,"Camera One, Douce, La SEPT, CNC, Ministére des Affaires Etrangeres",,Isabel Pons,,,,
MXIM-AV-1-11-205,"Tato Bores, actor comico de la nación","FRIAS-DESPLATS, CEPRO (CENTRO DE PRODUCCIÓN FACULTAD DE CIENCIAS SOCIALES UNIVERSIDAD DE BUENOS AIRES)",,"Sergio Frías, Gustavo Desplats",,,,
MXIM-AV-1-11-206," Tikal Guatemala, C.","Instituto de Antropología e Historia de Guatemala, Instituto Nacional de Antropología e Historia, Consejo Nacional para la cultura y las Artes, Lecuona Films",,,,,Donación  Guadalupe Rodríguez de Ita,1/09/2013
MXIM-AV-1-11-207,"Ernesto Che Guevara, hombre, compañero, amigo…",,,,,,Donación  Guadalupe Rodríguez de Ita,1/09/2013
MXIM-AV-1-11-208,Metal y melancolía,,,,,,,
MXIM-AV-1-11-209,Un amor natural,NPS,,,,,,
MXIM-AV-1-11-210,The fall of the Romanov dynasty,Kino International Corp. ,,,,,,
MXIM-AV-1-11-211,Asaltar los cielos,,,,,,Donación: Belkis Vega,1/10/2013
MXIM-AV-1-11-212,El poder de las imágenes: Leni Riefenstahl,,,,,,Donación: Belkis Vega,1/10/2013
MXIM-AV-1-11-213,El poder de las imágenes: Leni Riefenstahl,,,,,,Donación: Belkis Vega,1/10/2013
MXIM-AV-1-11-214,Del sueño a la poesía,,,,,,Donación: Belkis Vega,1/10/2013
MXIM-AV-1-11-215,Una gota en el mar,,,,,,Donación: Belkis Vega,1/10/2013
MXIM-AV-1-11-216,Sistema Radio Venceremos,Ultimo compas producciones,,,,,,
MXIM-AV-1-11-217,Chocalheiro Bemposta,,,,,,,
