"codigo_de_referencia","sinopsis","descriptor_onomastico","descriptor_toponimico","descriptor_cronologico","tipo_de_produccion","genero","fuentes","recursos","versiones","formato_original","material_extra"
"MXIM-AV-1-12-330","Los rollos de Pancho Villa describe en primera persona la búsqueda de una película desaparecida: The life of General Villa, producida bajo contrato entre el jefe rebelde mexicano Pancho villa y la compañía Mutual Film Corporation, en 1914. Haciendo una investigación exhaustiva en los archivos fílmicos de Holanda, Inglaterra, Francia, Estados Unidos, Canadá y México, el reaizador compone, con fragmentos de películas desconocidas hasta ahora, un mosaico cinematográfico no sólo sobre Pancho villa, sino sobre la Revolución Mexicana.","Pancho Villa, Gregorio Rocha, Kevin Brownlow, Rubén Osorio, Charles Rosher, Charles Bryor, Fernando del Moral González, Miguel Contreras Torres, Stephen Bottomore, Raoul Walsh, Porfirio Díaz, Julio la Madrid, Francisco I. Madero, Ricardo Flores Magón, Rhys Pryce, Victoriano Huerta Fritz Arno Wagner, Woodrow Wilson, Álvaro Obregón, L. M. Burrud, Paolo Cherchi-Usai, Jesús Salas Barraza, Plutarco Elias Calles, Langdon Morell, Rodolfo Gaona, Félix y Edmundo Padilla,","México: Ojinaga. Chihuahua: San Andrés, Durango, Veracruz, Coahuila: Salinas. Estados Unidos: Texas: El Paso, Nueva York: Rochester, South Carolina: Columbia, California: San Diego, Los Ángeles, New Mexico: Columbus. Inglaterra: Londres. Bahía de Manila. Holanda: Amsterdam. Francia: Paris.","7, 10 de enero, 16 de mayo de 1914, 1990, 1890-1918, 1898, 2001, 9 de marzo de 1916, 1920-1930","Documental","","Entrevistas, Grabación de campo, Ficción, Registros fílmicos, Fotografías, Hemerografía, Cartografía, Testimonios orales, Testimonios videorales, Documentos","Puesta en escena, Animación, Narración en off, Conducción, Intertítulos, Musicalización, Gráficos","","VHS",""
"MXIM-AV-1-12-331","\"Viviendo al límite\" está signada por un profundo y demoledor humanismo que vence prejuicios y tiende puentes a la comprensión y al respeto a la dignidad de la persona. Mercedes Santos Moray/escritora y crítica cinematografica; Desnuda a los protagonistas con sus sentimientos a flor de piel para alcanzar hermosos momentos en que tras la tragedia se respira un hálito de esperanza. Un auténtico himno a la vida. Luciano Castillo/ investigador y crítico cinematográfico. Y es que estos testimoniso captados en su desgarramiento y autentcidad se elevan sobre la superficialidad y la simuación afectuosa para alcanzar una dimensión mucho más humana, real y esencial. Gustavo Arcos/ Investigador y crítico cinematográfico; Una reflexión sobre la vida que consigue asir lo intangible, la resistencia de lo íntimo. Es un canto de amor que involucra al espectador al punto de acelerarle el pulso, dejarle con la boca seca y los ojos húmedos. Azucena Plasencia/periodista y crítica cinematográfica.","Yoire Ferrer, María Julia Fernandez, Fernando Mederos; Keni León, Carlos Borbón;","Cuba: Malecón","","Documental","","Testimonios videorales","Puesta en escena, Narración en off","","DVD",""
"MXIM-AV-1-12-332","Documental sobre el nacimiento, el crecimiento y la madurez de ese tumor maligno que son las grandes corporaciones, visto desde una perspectiva muy crítica y real. Cuenta con estrellas invitadas como Nike, Coca Cola, IBM… y con grandes “presentadores” como son Noam Chomsky, Michael Moore y Milton Friedman entre otros. (FILMAFFINITY","Mikela J. Mikael (narrador), Jane Akre, Raymond L. Anderson, Joe Badaracco, Maude Barlow, Marc Barry, Edwin Black y Noam Chomsky","Estados Unidos, Canada, Cochabamba, Bolivia, Irak, Alemania e Italia.","1933, 1940, 1991,200, 2001","Documental","","Grabación de campo, Fotografías, Testimonios orales, Programas de tv, Publicidad, Dibujos","Animación, Narración en off","","DVD",""
"MXIM-AV-1-12-333","\"Las Cruces\" cuenta la historia y fatal destino de una comunidad enclavada en la montaña en el momento en que un selecto grupo de siete combatientes guerrilleros, seis hombres y una mujer irrumpen en la vida de la aldea. El éjercito esta cerca, vienen a arrasar con todo. Los siete combatientes se disponen a dar su última batalla sabiendo que la guerra esta terminada. En medio de dos fuegos se encuentra la aldea de \"Las Cruces\". \"Las Cruces... poblado próximo\" recupera los rostros anónimos de aquellos que dieron su vida queriend lo mejor para su patria y al mismo tiempo desmitificar la idea de la guerra justa y necesaria, mostrando su horror para que nunca más se repita.","Giacomo Buonafina, Daneri Gudiel, Marian Arenas, Herbert Ignacio, Jennifer Soto, Raymundo Coy, Yolanda Coronado","Guatemala pueblo Las Cruces","1986, 2006","Documental ficción","","Ficción","Puesta en escena, Narración en off","","DVD",""
"MXIM-AV-1-12-334","En este video se presentan algunos aspectos de Nicaragua a través de sus variados paisajes , su ecología, su flora, su fauna, al igual que algunas manifestaciones de su cultura popular, atestiguadas en el diario quehacer de su vida rural; ademas de las expresiones festivas de sus habitantes, en un arraigo de costumbres y creencias tradicionales.","","Nicaragua","","Documental","","Grabación de campo","Narración en off, Intertítulos, Musicalización, Gráficos","","VHS",""
"MXIM-AV-1-12-335","Programación transmitido en vivo, conducido por Ofelia Aguirre, en el cual se hizo una pequeña dramatización en base a un fracmento del libro bajo la actuación de Armendariz Jr. Y Becerra. En la sala principal de Bellas Artes, Mario Vargas Llosa presenta su libro \"La fista del chivo\" que tiene como personaje principal al ex-dictador Rafael leónidas Trujillo. El autor advierte: \"...es una novela no es un libro de historia.\" Entre los comentaristas están. Marcela Serrano 8escritora chilea), y Juan Villoro.","Mario Vargas Llosa, Marcela Serrano (escritora chilena), Juan Villoro, Rafael Leónidas Trujillo,","El palacio de Bellas Artes en México","1930-1961 gobierno de Trujillo, 1992","","","Fotografías, Programas de tv","Puesta en escena, Animación, Conducción","","DVD",""
"MXIM-AV-1-12-336","La naissance du cinéma sonore et du cinéma en couleur racontée à travers deux captivants films : \
Procédés loufoques ou extrêmements compliqués, expérimentations incroyables imaginées par des inventeurs sans limites... Des premiers films coloriés au pinceau directement sur la pellicule, aux films loués avec chanteur ou accompagnés à la machine à bruits, ces deux documentaires retracent pour la première fois l’épopée scientifique et artistique qui a permis l’avènement du cinéma moderne. \
(Fuente: Film & Documentaires.com)\
Traducción: Retour de Flamme colección toma su nombre de una apuesta audaz: salvar viejas películas rodadas en película de nitrato inflamable, para descubrir que muchos de los tesoros escondidos de cine. \
Un torbellino de América del alemán y ruso de imágenes franceses, sonido o silencio, blanco y negro y color, disparó entre 1896 y 1948 se llevará a través de la felicidad con 50 años de cine","Alan Grosland, Louis Lumiére","","1927","","","Registros fílmicos, Testimonios orales, Registros fonográficos","Animación, Narración en off","","DVD",""
"MXIM-AV-1-12-337","Le 1er DVD contient 15 courts métrages rarissimes jamais édités en vidéo! Un tourbillon d’images françaises, américaines, allemandes et russes, sonores ou muettes, en noir et blanc et en couleur, tournées entre 1896 et 1948, vous fera traverser avec bonheur 50 ans de cinéma ! Traducción: El primer DVD contiene 15 cortometrajes raros vídeo inédito! \
Un torbellino de América del alemán y ruso de imágenes franceses, sonido o silencio, blanco y negro y color, disparó entre 1896 y 1948 se llevará a través de la felicidad con 50 años de cine!","Laurel et Hardy, Buster Keaton, Joan Crawford, Gary Cooper, Douglas Fairbanks Jr, Fay Wray et Maurice Chevalier réunis \
Louis Lumière, Charles Chaplin","","1869-1948","","","Registros fílmicos, Testimonios videorales, Música de época, Registros fonográficos","Animación, Incidentales, Narración en off, Intertítulos","","DVD y VHS",""
"MXIM-AV-1-4-7","La caida de los Romanov abarca el período 1912-1917, a través de las escenas filmadas durante ese periodo se explica su caída y el ascenso de la revolución. Se trata de un documento gráfico editado a partir de diferentes materiales, incluso, algunos pertenecientes al archivo privado  del zar. La producción forma parte de la trilogia a sobre la historia de Rusia. \"Las tres películas que la componen: Padenie dinastii Romanovykh (La caída de los Romanov, 1927), Velikj Put' (La gran ruta o El gran camino, 1927) y Rossija Nikolaja II i Lev Tolstoi, (La Rusia de Nicolás II y Tolstoi, 1928), no contienen ningún plano rodado por Choub.\" (Fuente: Partido Comunista de Madrid. http://www.profesionalespcm.org/_php/MuestraArticulo2.php?id=15242) \"Considerado como el primer \"documental de montaje\" (realizado exclusivamente por medio de material de archivo preexistente). Al mismo tiempo, la realizadora pretende, mediante la combinación de secuencias, realizar \"una lectura marxista de la historia\"; en este caso, los antecedentes de la revolución soviética.\" (Fuente: Rebelde Mule: http://www.rebeldemule.org/foro/documental/tema3496.html).","Dinastía Romanov, Lenin, Profesor Oleo A. Donskikh","Rusia: San Petersburgo, Petrogrado, Moscú","1912-1917","Documental","","Registros fílmicos, Fotografías, Hemerografía, Testimonios videorales, Documentos","Narración en off, Intertítulos, Musicalización","","","Además de la versión digital, remasterizada, se introdujo un comentario inicial del Dr en filosofía, Oleeg A Donskikh, especialista en cultura e historia rusa, quien además comenta en su totalidad el filme. El menú del dvd otroga la posibilidad de ver la película comentada o no. La digitalización, remasterización y comentarios, se realizaron en 1927"
"MXIM-AV-1-12-339","En la epoca de Benito Juárez el ferrocarril llego a México disfrazado de progreso.","Benito Juárez, Ignacio Rámirez, Manuel Paino, Manuel María Zarmacona, Casimiro Castro (pintor), Melecio Morales (músico), Santiago Hernández (pintor); Villa Sana (pintor)","Veracruz, Puebla, México, Atizaco","1867, 1869","","","Fotografías, Pinturas, Hemerografía, Cartografía","Narración en off, Intertítulos, Musicalización","","",""
"MXIM-AV-1-12-340","Una playa del Mediterráneo. Con estas coordenadas Pic-nic se acerca a un grupo de personajes que, aunque de paso por esa playa, parecen haber estado siempre ahí, en su rutina de vecinos de toalla o en el anonimato de la masa que dormita bajo las sombrillas. (Fuente: FILMAFFINITY)","","playa de Benidorm","2007","","","Grabación de campo","Intertítulos","","",""
"MXIM-AV-1-12-341","Un retrato de Antonio Campos, quien llamó al aficionado excepcional, una de la forma más natural de los directores portugueses filmado el país en los años 60 y 70 el cineasta. Considerado como un director en el banquillo, un solitario, un instintivo, Fields es la pasión de rodaje.","Augusto M. Seabra (Critico de cinema); José Manuel Costa (profesor de historia de Cinema); Paulo Rocha Alexandre Gonçalves, Augusto M. Seabra, João Bénard da Costa (Cineasta), Paulo Rocha, Fernando Cruz, Luís Capinha, Maria João Franco (Director de Cinemateca Portuguesa); Víctor Bandeira, Acacio de Almeida","La desembocadura del río Liz en Leiria, London","1957, 1958, 1961","","","Grabación de campo, Registros fílmicos, Fotografías, Hemerografía, Documentos","Narración en off","","",""
"MXIM-AV-1-12-342","Inicio del Prayas niños en los suburbios de Nueva Delhi es una especie de centro de rehabilitación y refugio para cientos de muchachos indios sin hogar y los hombres jóvenes, una institución grande y complejo que alberga varias comunidades distintas dentro de ella, las facciones de los muchachos que se distinguen por la edad y las condiciones de la variables niños - algunos huérfanos, algunos criminales, algunos simplemente fuera de lugar - pero unidos por la pobreza total que comparten. Los niños de Gandhi hace que la mayor parte de su gran y extraordinario \"reparto\", desplegando episodios que generan, los significados y efectos acumulativos novelísticas. MacDougall descubre magistralmente una maraña aproximada de historias vibrantes y de absorción dentro de la casa animada, de la agotadora y enfureciendo a la edificante e inesperado, pero siempre absorbiendo. (Harvard Film Archive: http://hcl.harvard.edu/hfa/films/2010aprjun/macdougall.html)","","Person India","","","Etnigrafico visual","Grabación de campo","Intertítulos","Idioma en hindi, con subtitulos en ingles.","DVD",""
"MXIM-AV-1-12-343","Jean Rouch inspiró la nueva ola del cine francés, después de haber sido una figura clave del fundador y director de la cinemateca francesa del Comité de la película del Museo Etnográfico del Hombre. Su larga carrera está estrechamente relacionada con el mundo de África occidental, donde trabajó como ingeniero durante la Segunda Guerra Mundial. A través de su trabajo se demuestra día a día de los africanos de Níger y Ghana, sino también la imaginación de una generación, en los documentales y la naturaleza antropológica de un determinado etno-ficción. \"El Masters Crazy\" ganó el primer premio del cine etnográfico y turístico folklore del Festival Internacional de Cine de Venecia en 1957, y \"Yo, un Negro\" fue considerado por Jean-Luc Godard como \"la mejor película francesa del movimiento liberal.\"","Edouard G. Robinson","África Occidental, Accra capital de Costa do Ouro, Abidjan, Treichville","1955-1958","","","Grabación de campo","Narración en off, Intertítulos","","",""
"MXIM-AV-1-12-344","Este documental trata sobre una escuela progresista co-educacional de embarque en el sur de la India, los muchachos y las muchachas en tono de broma se acusan mutuamente de ser como criaturas aliennígenas.","Ashutosh, Anjney, Deepak","India","","","","Grabación de campo","Intertítulos","Idioma en hindi, con subtitulos en ingles.","DVD",""
"MXIM-AV-1-12-345","En esté documental se muestran las actividades que se realizan en O´parque, Se aprecia la flora y la fauna, las labores de las personas que trabajan y cuidan de el, así como los visitantes que acuden a realizar diferentes actividades ya sea ir de camping, por parte de la escuela, boyscout, entre otras cosas.","Ana (jardinera do parque), Julio (encargado de obra),","Lisboa,","","","","Grabación de campo, Testimonios orales, Testimonios videorales","Narración en off, Intertítulos","","DVD",""
"MXIM-AV-1-12-346","Filme desenvolvido a partir dos depoimentos de descendentes de escravos do Laboratório de Historia Oral e Imagem da Universidade Federal Fluminense com roteiro baseado no livro Memória do Cativeiro: família, trabalho e cidadania no pós-abolição de Ana Lugão Rio e Hebe Mattos.","Adrelino, Corina, María de Lourdes, Matias e María Cándida, Antonio Nascimento Fernandes, Benedita Alves, Claudina de Sousa Oliveira, Cornélio Cansino, Izaquiel Inácio, José Velos,. Júlia Borges, Manoel Seabra, María Santina Sarapio, Zeferina do Nascimento.","Río de Janeiro, Sao José da Serra, Santa Catarina, Santo Antonio da Serra, Quilombo","2005, 1994","","","Grabación de campo, Fotografías, Hemerografía, Cartografía, Testimonios videorales","Narración en off, Intertítulos, Musicalización","","DVD",""
"MXIM-AV-1-12-347","Jongos, Calangos e Folias: Memória e Música Negra, Memória e Poesia é um documentário realizado pela Universidade Federal Fluminense, através do Laboratório de História Oral e Imagem (LABHOI/UFF) e do Núcleo de Pesquisa em História Cultural (NUPEHC/UFF). O filme coloca em diálogo, através de jongos, calangos e folias de reis, a memória e a história da última geração de africanos chegada ao Rio de Janeiro na primeira metade do século XIX. Dá especial atenção à poesia presente nestas manifestações que são praticadas ainda hoje, no Rio de Janeiro, por muitos dos descendentes daqueles últimos escravos.","Dona Cecília , Tia Marina, Geraldo Abel, Marinda de Souza, Tio Juca, Manoel Seabra, João Batista, Manuel Moraes, Pastor Luis, Hebe Mattos (historiadora), Délcio Bernardo, Martha Abreu (Historiadora), Luiz Fernando \"Feijão\", Manueal da Calango, Jorge Maurício \"Fofa\", Mốnica Leme (musicóloga), Ana Lugão Rios (Historiadora), Antốnio Carlos (Historiador), Pastor Luis, Toninho Canecão (Líder da Comunidade do Quilombo de São José da Serra)","Río de Janeiro, Rasa, Búzios; Barra do Paraí, Vale do Paraíba; Duas Barras; Bracuí, Angra dos Reis, Quilombo de Bracuí, Angra dos Reis, Mambucaba, São da Serra, Barra do Piraí","1810, 2007","","","Grabación de campo, Testimonios videorales","Narración en off, Intertítulos","","DVD","Performances de jongos, calangos e folias; Información sobra las regiones visitadas y sobre los participantes del film. Entrevista con Robert Slenes (historiador de Universidade Estadual de Campinas UNICAMP), Referencias de documentos historicos."
"MXIM-AV-1-12-348","La película documenta el juego de palo y su inserción en la cultura africanana fluminense del Valle del Río Paraíba. Sus protagonistas son descendientes de los esclavos que trabajaban en las plantaciones de café de la región en el siglo XIX . La primera parte de la película recrea el ambiente de las fiestas de Calango , en el que dos o más cantantes acompañados de acordeón, tambor y la pandereta , se desafían a través de versos improvisados . La danza también llegó a crear tensiones y rivalidades entre las granjas y pueblos , que a menudo terminaban en peleas . \
En ese momento los hombres se enfrentaban a golpes con palos y enredaderas. Pero la vara también se utilizó en un partido amistoso , llamado el juego de palo, practicado los domingos. La película trata de dar mayor visibilidad a esta tradición juego de lucha , que en muchos lugares sólo permanece en la memoria de sus antiguos practicantes . La memoria del juego de palo produce nuevas pistas sobre la historia de la capoeira .","Gerardo Abel, Jorge Fernandes, Joäo Batista Azedias, Manuel Seabra Didiel Gonsalez, Mestre Nestor Capoeira, Mauricio Barros de Castro, Vivian Fonseca, Raquel A quilera","Guilombo Sao José / Valencia, Duas Barras, Vassouras, Miracema, Rio de Janeiro","1800-1899","","","Grabación de campo, Registros fílmicos, Fotografías, Testimonios orales, Música de época","Intertítulos, Musicalización","","DVD",""
"MXIM-AV-1-12-349","Rostrops de la Antropología es una serie de documentales en los que se dan a conocer los trabajos de investigación y las aportaciones de los más importantes investigadores del INAH que han contribuido al desarrollo de la antropología y arqueología en nuestro país. Alfonso Soto Soria: El adentrarnos en su hisoria de vida nos permitio conocer a este personaje destacado en el campo de los museos latinoamericanos cuya trayectoria relevante nos acercó a temas como la decencia, el quehacer del museógrafo, a sus sistemas de trabajo y al ascesor de organismos internacionales en nel campo del diseño artesanal.","Alfonso Soto Soria","Chiapas (Palenque), México (Museo de Antropología, Escuela Esmeralda)","1950","","","Grabación de campo, Fotografías, Pinturas, Testimonios videorales, Dibujos, Registros videográficos","Narración en off, Musicalización","","DVD",""
"MXIM-AV-1-12-350","Los primeros decenios del siglo XX se ven marcados por una serie de crimenes sangrientos que dennotan la inestabilidad social de nuestro país. Tomando como pretexto la serie de cine mudo La banda del automovil gris - Enrique Rosas, 1919 -, se presenta una cronica de imagenes cinematograficas silentes de archivos fotograficos y hemerograficos de gran riqueza historica, tal y como se hacia en el cine mudo. La Banda del automovil gris se estrenó en diciembre de 1919. Basada en crimenes y atracos que acudierón a la sociedad capitalina de 1915, la serie de doce capitulos trajo por primera vez al cine mexicano la experiencia histórica innedita. Incluye dos elementos reales: el inspector Juan Manuel cabrera interpretándose a sí mismo y la famosa escena final del fusilamiento de los ladrones. Supero las espectativas del público y la critica de su tiempo. Este documental nos muestra imágenes representativaas de una época vital en la historia de México Una realidad visual de conflictos politicos y sociales que nos remiten a un país convulcionado.","Rafael Aviña, Sra. Lourdes Rosas priego, Mimí Derba, Dr. Ángel Miquel, Juan Manuel Cabrera, Zapata, Francisco Villa, Venustiano Carranza, Obregón, Dr. Eduardo de la Vega Alfaro, Enrique Rosas","Ciudad de México, Cárcel de Belem,","1914, 1915, 1917","Documental","","Fotografías, Hemerografía, Testimonios videorales, Música de época, Registros videográficos","Narración en off, Intertítulos, Musicalización","","DVD",""
"MXIM-AV-1-12-351","Mujeres en el desarrollo, participación económica de la mujer fondo proequidad.","","Chiapaas (Pozuelo, El Pinal), Pátzcuaro,, Michoacán.","2006","Documental","","Grabación de campo","Narración en off, Intertítulos, Musicalización","","DVD",""
"MXIM-AV-1-12-352","A partir de de una muestra representativa de prácticas en el manejo y control tecnológico del agua de los pueblos prehispanicos de México, en este documental se da cuenta del alto conocimiento y tecnología del agua de la ingeniería prehispánica desarrollada durante tres mil años de tradición higraulica mesoamericana. Se constata en este cortometraje que las prácticas agrícolas, junto con las técnicas de irrigación y obras hidráulicas de intervención americana, fuerón determinantes en la gestación y en la grandeza de las civilizaciones precolombinas.","","Teopantecuanitla, Xochipala Guerrero; San Lorenzo Tenochtitlan, Veracruz; La Venta, Comalcalco,Tabasco; Coxcatlan; Hierve el agua, Monte Alban, Oaxaca; Yucatan; Valle de México","","Documental","","Grabación de campo","Narración en off, Intertítulos, Musicalización","","DVD",""
"MXIM-AV-1-12-353","El objetivo de este trabajo es mostrar la historia de algunas Facultades, Escuelas e Institutos de la Universidad Autónoma de San Luis Potosí. El contenido de este disco es resultado del Seminario y Taller de Producción de Medios del octavo semestre 2002 de la carrera de Ciencias de Comuncación de la Universidad Autónoma de San Luis Potosí","Lic. Guillermo Delgado Robles, Lic. Alfonso Lastra Ramirez, Raúl Camacho Muños, Ing, Hector Salgado, Lic. Gonzalo Patiño","San Luis Potosí","1985","","","Hemerografía, testimonios videorales, grabación de campo","Narración en off, intertítulos","","DVD",""
"MXIM-AV-1-12-286","Capturing the Friedmans se adentra en la vida de los Friedman, una familia de clase media de Great Neck, Long Island. La policía del condado Nassau comienza una larga investigación tras encontrar una gran colección de revistas de pornografía infantil en la casa de los Friedman. Arnold Friedman, el padre de la familia, es acusado de abuso de menores junto a su hijo menor, Jesse, en el año 1988. Ambos trabajaban dando clases particulares de informática a niños en su casa. El caso pronto estalla y se convierte en un escándalo mediático. Tras numerosas sospechas, los alumnos de Arnold Friedman son interrogados por la policía y todos declaran haber sufrido abusos sexuales por parte de los acusados y haber participado en múltiples juegos sexuales durante las clases.\
\
A raíz de estas declaraciones y de la presión mediática la familia Friedman empieza a desestructurarse. Siguiendo las recomendaciones de su abogado, Arnold y Jesse Friedman se declaran culpables frente a la Justicia. Arnold fue condenado de 10 a 30 años y Jesse de 6 a 18 años de años de cárcel. Finalmente, Arnold Friedman se suicida en el año 1995 durante su estancia en la cárcel, dejando 250.000 dólares de su seguro de vida a su hijo. Jesse sale en el año 2001 en libertad condicional después de cumplir 13 años de condena. https://es.wikipedia.org/wiki/Capturing_the_Friedmans","Jesse Friedman, Arnold Friedman, Elaine Friedman, David Friedman, Seth Friedman, John McDermott (inspector postal), Detective Frances Galasso, Detective Anthony Sgueglia, Joseph Onorato (Asistente de Fiscal de distrito), Judd Maltin (mejor amigo de Jesse), Howard Friedman (hermano de Arnold), Ron Georgalis, Scott Banks, Jueza Abbey Boklan, Debbie Nathan, Jerri Bernstein (abogado), Peter Panaro (abogado), Anthony Sgueglia (detective)","Estados Unidos: Nueva York: Great Neck, Nassau","1984, 1988, 1980","Documental","","Entrevistas, Grabación de campo, Fotografías, Testimonios videorales, Noticieros fílmicos, Documentos, Registros fonográficos, Registros videográficos","Gráficos","","","El caso, Películas inéditas"
"MXIM-AV-1-12-287","","","","","","","","","","",""
"MXIM-AV-1-12-288","","","México: Chiapas","","Documental","","Testimonios videorales, grabación de campo, entrevistas, registros fonográficos","Musicalización, narración en off","","",""
"MXIM-AV-1-12-289","","","México: Chiapas: San Juan de la Libertad","1999","Documental","","Entrevistas, Grabación de campo, Testimonios videorales, Registros fonográficos","Narración en off, Musicalización","","",""
"MXIM-AV-1-12-290","","","México: Chiapas: Oventic Caracol II","1997, 2004","Documental","","Entrevistas, Grabación de campo, Testimonios orales","Narración en off, Musicalización","","",""
"MXIM-AV-1-13-1","En los estudios sobre las familias del México contemporáneo, sus diversidades y transformaciones, siempre aparecen los medios de comunicación y la televisión como un referente ineludible. La televisión comercial se concibe como una forma de ilustrar \"realidades\" y un \"competidor desleal\" que quienes cuidan y educan a niñas, niños y jóvenes. En respuesta a esa inquietud, Iniciativa Ciudadana y Desarrollo Social, INCIDE Social A.C. y el Laboratorio audiovisual de Investigación Social del Instituto Mora nos preguntamos: ¿Qué representaciones sobre las familias difunden la televisión comercial abierta y de paga? Este material invita a que reflexionemos sobre cómo son representadas las familias, sus relaciones, sus integrantes, las tomas de decisión en su interior, los problemas que tienen y cómo se vinculan a sus contextos.","","México, Estados Unidos","","Película documental","","Programas de TV, música de época","Narración en off, conducción, intertítulos, gráficos, animación","","",""
"MXIM-AV-1-13-10","El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie \"Nosotros…los Otros\",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo trata sobre las comunidades \"Indígenas: El color de la tierra\". ","Víctor Ronquillo (reportero y director), Magali Vargas (indígena de Santa Ana Tzacuala), Petra Hernández (indígena de Santa Ana Tzacuala), Angélica Vargas (indígena de Santa Ana Tzacuala), Samuel Flores (habitante de Santa Ana Tzacuala), Genaro González (habitante de Santa Ana Tzacuala), Leobardo Mendoza (habitante de Santa Ana Tzacuala), Modesto Vargas (habitante de Santa Ana Tzacuala), Tomás Lascano (indígena de Naupan), Avelina Delgado (indígena de Naupan), Concepción García (indígena de Naupan), Blasa Torres (indígena de Naupan), Olga Montufar (Organización Paso a Paso), Lázaro Cruz (joven indígena trabajador de la calle), David Espinosa (Centro Interdisciplinario para el Desarrollo Social), Alicia Vargas (Centro Interdisciplinario para el Desarrollo social), Juan Gregorio Regino (escritor bilingüe y poeta)","México: Hidalgo: Santa Ana Tzacuala, Acaxochitlán. Puebla: Sierra Norte: Naupan.Ciudad de México.","2010","Programa de televisión documental","","Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación","","",""
"MXIM-AV-1-13-11","El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie \"Nosotros…los Otros\",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo aborda el tema de la tercera raíz en México, una mirada sobre las comunidades \"Afrodescendientes\" que viven en el Estado de Guerrero y Oaxaca.","Víctor Ronquillo (periodista), Lucila Mariche (afrodescendiente), Guadalupe Vargas (Presidente Municipal Santiago Tepextla, Oaxaca),  Catalina Ávila (San José de la Estancia), Nestor Martínez (Organización ÉPOCA),  Romualdo Ricardo (afrodescendiente), Eduardo Añorve (periodista), Bulmaro García (afrodescendiente), Mario Corcuera (afrodescendiente), Odilio Corcuera (afrodescendiente), Cointa Chávez (afrodesccendiente), Pablo González (Comisario Ejidal, Tecoyame, Oaxaca), Guadalupe Cisneros (afrodescendiente),  Ausencio Velazco (afrodescendiente), Flor Ramírez (afrodescendiente),  Adrián Ramírez (afrodescendiente), Máximina Saguilar (afrodescendiente),  Orfelina Valádez (afrodescendiente), Rolando Guzmán (afrodescendiente), Sergio Rodríguez (Organización México Negro)","México: Guerrero. Oaxaca: Tecoyame, Charco Redondo, Santa María Chicomtetepec, Cuajinicuilapa, Lagunilla, Yuyaquita, Rancho Nuevo.","1536, 1521 ","Programa de televisión documental","","Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación","","",""
"MXIM-AV-1-13-12","El Consejo Nacional para Prevenir la Discriminación (Conapred) en coproducción con Canal 22 presenta la serie \"Nosotros…los Otros\",  con el objetivo de evidenciar la desigualdad, exclusión y prácticas discriminatorias que persisten en la sociedad mexicana las cuales impiden que todas y todos ejerzan en igualdad de condiciones sus derechos. Este capítulo trata sobre los \"Derechos de los niños y las niñas\". ","Víctor Ronquillo (periodista), Testimonios de niños de la calle, Luis Enríque Hernández (Caracol), Juan Martín Pérez (Red por los Derechos de la Infancia en México),  Juan Antonio Vega (Investigador, Trabajo Social, UNAM), Niños: Axel Medina, Luis Daniel Rodríguez, Zaira  Vega, Evelin Moscoso, Paola Julieta Ibañez, César Villa.","México: Ciudad de México: Museo Papalote, Metro Barranca del muerto, metro Juárez, ","","Programa de televisión documental","","Testimonios videorales, grabación de campo, fotografías, registros fílmicos, documentales, testimonios orales","Narración en off, conducción, intertítulos, gráficos, animación","","",""
